X,Y,OBJECTID,AWARD_WINNER,PROJECT_DESCRIPTION,RECIPIENT,AWARD_YEAR,CATEGORY,LOCATION,COMMUNITY,LATITUDE,LONGITUDE
596149.2567,4789587.2598,12,Bioswales for Ottawa Street North,"As a response to significant stormwater runoff issues in Hamilton’s lower city, this project proposes bioswales or bioretention planters for Ottawa Street North as a mitigation measure. Ottawa Street N. was chosen as a demonstration site for stormwater",Adele Pierre,2017,"Award of Merit for Student Projects, 2017","Ottawa Street North, from Argyle Avenue to Edinburgh Avenue",Hamilton,43.25296,-79.81551
601693.9594,4788930.512,13,Confederation Beach Park Branding & Wayfinding (Phase 1),"Through the Confederation Beach Park Master Plan efforts, it was identified that one of the first steps towards the revitalization of Confederation Park was to refresh the branding and wayfinding strategy. An early audit of the site identified that there","City of Hamilton, Kramer Design Associates Ltd.,
Bestco Construction Ltd., Regional Signs Inc.",2017,"Award of Excellence for Urban Elements, 2017","680 Van Wagners Beach Road, Stoney Creek",Hamilton,43.24632,-79.74734
,,14,K-House,"This net-zero energy house combines photovoltaic panels, natural materials, traditional construction methods, and barrier-free design while facilitating aging in place. The landscape strategy includes the integration of resilient native species, porous s","Office OU, Escape Designs, Evolve Builders Group, Blackwell Structural Engineers",2017,"Award of Excellence for Private Building - Residential: Single, 2017",,Ancaster,0,0
597640.9437,4788895.4389,15,Strathearne Suites,"This project involved converting a run-down rooming house into high quality, affordable, and supportive housing suites. The first phase included the renovation of the existing rooming house to meet current building and fire codes, and improve its integra","Indwell Community Homes, Invizij Architects, Schilthuis Construction, Ira McDonald Construction",2017,"Award of Excellence for Private Building - Residential: Multi-Unit, 2017","311 Strathearne Avenue, Hamilton",Hamilton,43.24654,-79.79726
592045.5463,4789795.8298,16,The Residences of Royal Connaught (Phase 1),"Having celebrated its Centennial last year, this first phase of the Royal Connaught re-development has given new life to one of Hamilton’s prestigious downtown icons. Throughout its life, the building has experienced several changes in ownership and us","Royal Connaught Inc., KNYMH Inc., Hallex Engineering Ltd., Adesso Design Inc.",2017,"Award of Merit for Private Building - Residential:  Multi-Unit, 2017","112 King Street East, Hamilton",Hamilton,43.25535,-79.86602
591116.9204,4790208.7134,17,Coop Restaurant,"This project involved the renovation of a historic commercial building into a new restaurant.
The majority of the historical façade was preserved with the exterior renovations including the replacement of the ground floor storefront, windows and signage","Tortoise Group, TCA | Thier + Curran Architects Inc., Maitland Spencer,
CoPa Engineering Ltd., Mighton Engineering, Vincent Formosi",2017,"Award of Merit for Private Building - Commercial, 2017","272 King Street West, Hamilton",Hamilton,43.25918,-79.87739
591832.4727,4789942.8943,18,11 King Street,"Formerly the Mills China Shop, the heritage building at 11 King East facing Gore Park underwent a façade rehabilitation project, and now houses a new commercial venture. Restoration work included the creation of new wood cornices, restored mill work sur","Jaswant Majithia, Historia Building Restoration Inc.",2017,"Award of Merit for Private Building - Commercial, 2017","11 King Street East, Hamilton",Hamilton,43.2567,-79.86862
591927.3046,4790014.1556,19,Templar Flats,"Symptomatic of Hamilton at the time, King William Street consisted of a mix of vacant lots, buildings slated for demolition, and struggling businesses. An empty building, vacant lot, and the would-be methadone clinic became what is now the catalytic deve","Core Urban Inc., Lintack Architects Inc., Strik Baldinelli Moniz Ltd., MSE, Seguin Engineering Inc., Fortino Bros.",2017,"Award of Excellence for Private Building - Mixed Use, 2017","31-39 King William Street, Hamilton",Hamilton,43.25733,-79.86744
596677.7619,4788165.2054,20,Rudy Hulst Commons,"Rudy Hulst Commons is a mixed-use housing development in East Hamilton, which creates elegant affordable housing through safe and dignified living spaces. This energy efficient building is clad in a pattern of charcoal and white aluminum panels, the wind","Indwell Community Homes, Invizij Architects, Demik Construction, IBI Group",2017,"Award of Merit for Private Building - Mixed Use, 2017","1430 Main Street East, Hamilton",Hamilton,43.24009,-79.80925
592341.7536,4789685.4466,21,234 King Street East,"This retail commercial project, with a residential unit above, was a renovation effort by master carpenter Mike Haines. The new heritage inspired facade aimed to elevate the street’s appearance, draw high-end tenants and encourage property owners in th","Mike Haines + Matthew Kelland, J.H. Cohoon Engineering",2017,"Award of Merit for Private Building - Mixed Use, 2017","234 King Street East, Hamilton",Hamilton,43.25432,-79.86239
589880.0728,4793551.1076,22,David Braley & Nancy Gordon Rock Garden - Visitor Centre at the Royal Botanical Garden,"The David Braley and Nancy Gordon Rock Garden underwent a three-year transformation. Features include a new Visitor Centre, restoration of the heritage Garden House, the Daglish Family Foundation Courtyard with elegant stone walls, rebuilt water features","Royal Botanical Gardens, CS&P Architects Inc., Janet Rosenberg & Studio Inc.,
Colliers Project Leaders, Ira McDonald Construction Ltd.",2017,"Award of Excellence for Public Building, 2017","1185 York Boulevard, Hamilton",Hamilton,43.28942,-79.89208
588799.1626,4797335.6112,23,Waterdown Library & Civic Centre,"The Waterdown Library and Civic Centre design process began with an acknowledgement of a dramatic site upon the Niagara Escarpment. The design takes advantage of the topography, using elevation changes to provide expression and access to the different pr","RDH Architects, NAK Design Strategies, City of Hamilton, The Hamilton Public Library",2017,"Award of Excellence for Public Building, 2017","163 Dundas Street East, Waterdown","Waterdown, Flamborough",43.32362,-79.90479
588951.1998,4798724.9356,24,Waterdown Rotary Memorial Park Skate Loop,"Previously dominated by soccer fields and baseball diamonds, The Waterdown Rotary Memorial Park Skate Loop has provided an additional use, giving families the opportunity to spend time outdoors all year round. Due to budgetary constraints, an existing wa","Invizij Architects Inc., Toms + McNally Design Inc., Exp Services,
S. Llewellyn and Associates, Seferian Design Group, City of Hamilton",2017,"Award of Merit for Public Building, 2017","200 Hamilton Street North, Waterdown","Waterdown, Flamborough",43.33611,-79.90269
592434.8426,4792148.1461,25,Pier 7 & 8,Pier 7 + 8 are former industrial lands that represent Hamilton’s most significant opportunity to transform their waterfront into a vibrant new community. The recommended development master plan evolved through a collaborative 16 month community consul,"Brook McIlroy, City of Hamilton",2017,"Award of Excellence for Visions & Master Plans, 2017",,Hamilton,43.27648,-79.86083
599600.9156,4789960.2794,26,Pipeline Trail Master Plan,"The Pipeline Trail Master Plan adaptively reuses municipal infrastructure into an urban trail network linking parks, schools, residences, transit, businesses, and neighbourhoods. It is a community-focused project that provides the framework for re-develo","City of Hamilton, OMC Landscape Architecture, CIMA, Exp Services, Pipeline TrailCommunity Group, Homeside Community and Planning Team, Crown Point Community Planning Team",2017,"Award of Merit for Visions & Master Plans, 2017",,Hamilton,43.25587,-79.77293
590280.3299,4787921.6219,27,Mohawk College Hoop Dance,"Mohawk College began this project with the vision of creating a place that celebrates First Nations, Metis and Inuit culture within the everyday experience of the Mohawk College campus and that honours 15,000 years of Indigenous history on this territory","Mohawk College, Brook McIlroy, Oakridge Landscape Contractors,
Nicola Logworks, Blackwell Engineering",2017,"Award of Excellence for Landscapes, Public Spaces & Green Infrastructure, 2017","135 Fennell Avenue West, Hamilton",Hamilton,43.23869,-79.88807
587623.6532,4790342.6404,28,L.R. Wilson Hall for Studies in Humanities and Social Sciences,"L.R. Wilson Hall acts as a landmark building for the eastern gateway to McMaster University. The design goal was to ensure that the landscapes serve the faculty’s functions, as well as fit within the broader campus circulation patterns. The landscape p","McMaster University, PMA Landscape Architects Ltd., CS&P Architects Inc.,
Provident Energy Management Inc., Arborwood Tree Service Inc., Creative Irrigation Solutions Inc",2017,"Award of Merit for Landscapes, Public Spaces & Green Infrastructure, 2017","1280 Main Street West, Hamilton",Hamilton,43.2608,-79.9204
599110.5024,4788294.6983,29,McQuesten Urban Farm,"McQuesten Urban Farm is Hamilton’s first urban farm and public space of its kind, in the heart of Hamilton’s east end. The space was designed with a great deal of insight provided by the community and those that actively use the space today. The urba","McQuesten Community Planning Team, Bienenstock Natural Playgrounds, City of Hamilton Social Planning and Research Council",2017,"Award of Excellence for Civic Achievement, 2017","400 Melvin Avenue, Hamilton",Hamilton,43.24094,-79.77927
591425.0183,4789936.2816,30,David Braley Health Sciences Centre,"The David Braley Health Sciences Centre has been positioned and composed to reinforce the surrounding civic precinct and enliven the downtown urban streetscape. It forms a new western definition to Commonwealth Plaza, a layered edge of paving and stone p","McMaster University, NORR Limited, Dillon Consulting, André Scheinman Heritage
Preservation Consultant, Ball Construction",2017,"Chief Planner Award for Outstanding Contribution to the City of Hamilton Public Building, 2017","100 Main Street West, Hamilton",Hamilton,43.25669,-79.87364
595819.5268,4791762.039,31,Steelcity Living Student Thesis,The project “Steelcity Living” seeks to set a precedent to transform this brownfield site into a vibrant mixed-use community with affordable housing enriched by the remediation and preservation of the site’s industrial past. This community integrat,Desirae Cronsberry,2015,Award of Excellence in Student Research,386 Wilcox Street,Hamilton,43.272581,-79.8191928
591502.3914,4790945.3295,32,Barton-Tiffany Urban Design Study,"The Barton-Tiffany area is a brownfield site that is 26 hectares in size. It provides a significant opportunity for urban regeneration by infusing new activity within the area.  The site also faces many design challenges, given the context of a disconne","City of Hamilton - Planning and Economic Development Department - Community Planning Section, GSP Group, Diamond Schmitt Architects, Paradigm Transportation Solutions, MTE Consultants Inc., HGC Engine",2015,Award of Excellence in Community Planning,Barton St W & Caroline St N,Hamilton,43.265765,-79.8725193
592437.1992,4789809.2954,33,King William Performing Arts District Study,"The King William Performing Arts District Study proposes to create an integrated, mixed-use performance district centered on Theatre Aquarius. The project aim is to demonstrate how a mixture of performing arts spaces, supported by commercial and resident","Theatre Aquarius, Civicplan, David Premi Architects Inc.",2015,Award of Exellence in Precinct Planning,,Hamilton,43.2554233,-79.8611936
595113.7042,4788440.7212,34,Gage Park Restoration,The historic 28 hecate City park required restoration and preservation of signfiicant features to ensure the character and historical integrity is maintained. The restoration included the reconstruction of the 1927 feature fountain and reflecting pool. T,"City of Hamilton Public Works Department, Landscape Architectural Services, DTAH Limited, Steven Burgess Architect Ltd., Seferian Design Group, Landscape Planning Limited, Alpine Bike Parks Canada Inc",2015,Award of Excellence in Heritage Restoration,1000 Main Street East,Hamilton,43.2427693,-79.8284625
597248.5846,4774929.667,35,Binbrook Parkette,"Conceived as a “Public Square” in 1999 by the former Township of Glanbrook, this parkette is located at the main intersection in the Binbrook community core, and serves as a focal point for the community. The parkette was completed after ten years of","City of Hamilton Planning and Economic Development Urban Renewal Section, Adesso Design Inc., MTE Consultants Inc., Modern Ornamental Iron Works Limited",2015,Award of Excellence in Placemaking,Highway 56 and Binbrook Road,Glanbrook,43.1208592,-79.8045482
593693.5219,4788163.022,36,CIBC Breast Assessment Centre - Juravinski Hospital,The CIBC Breast Assessment Centre consists of a repurposed building and an addition of an entrance pavilion for breast cancer screening and diagnostic services. The building was designed using principles of salutogenesis which promotes environments that,"Hamilton Health Sciences, Zeidler Partnership Architects, Al Regehr Landscape Architect, Exp Services Inc., MTE Consultants Inc.",2015,Award of Excellence in Architecture,711 Concession Street,Hamilton,43.240447,-79.8459989
589439.2405,4791277.2161,37,Hambly House,"Originally built in 1939 for Jack Hambly by architect Edward Glass, the house is one of a handful of Art Moderne houses in Ontario.

The Hambly House underwent a comprehensive restoration with the addition of a second storey wrapped in floor-to-ceiling g","Lane Dunlop and Tina Fetner, David Premi Architects Inc., Vanderwesten Rutherford Mantecon, Ian McGregor Pools and Landscapes",2015,Award of Excellence in Architecture,170 Longwood Road North,Hamilton,43.2690007,-79.8978826
594336.4039,4790001.9017,38,John Howard Society Landscaping,"The Society's mission is to provide effective, just and humane responses to the causes and consequences of crime through various programs and support services. The John Howard Society wanted to provide a welcoming and supportive space that has a sense of","The John Howard Society, PMA Landscape Architects, TCA/Thier + Curran Architects Ltd. Escape Designs",2015,Award of Excellence in Civic Generosity,645 Barton Street East,Hamilton,43.256922,-79.8377675
592075.8295,4791575.6994,39,North End Free Library and Public Bench,"A priviate initiative that promotes the sharing and exchange of books in the North End neighbourhood. This tactical urbanism action is a 'take a book, leave a book' gathering place. It is a civic gesture and public amenity that blurs the lines between pu",Bill Curran and Maryanne Scime,2015,Award of Excellence in Civic Generosity,56 Macaulary Street West,Hamilton,43.2713703,-79.8653494
593962.9112,4790146.9276,40,541 Eatery & Exchange,"A renovation to an existing century old bank building located in Barotn Village. Presently, it is a socially conscious café that offers affordable, fresh, homemade meals at a low cost. The development includes the preservation of the ornate exterior of","Drew Hauser, McCallum Sather Architects, Seguin Engineering Inc.",2015,Award of Outstanding Achievement & Excellence in Civic Generosity,541 Barton Street East,Hamilton,43.2582743,-79.8423433
583420.3278,4791562.1251,41,Dundas District Lofts,"The residential condomonium was once known as Dundas District High School and was built in 1929 based on a Collegiate Gothic Style. The restoration and conversion required numerous challenges such as environmental measures, extensive tree and shrub plant","Valvasori Properties, KNYMH Architects, IBI Group",2015,Award of Excellence in Adaptive Reuse,397 King Street West,Dundas,43.2722563,-79.9719955
593139.0721,4788885.5805,42,Stinson School Lofts,"Designed by the Hamilton architect Alfred W. Peene and built in 1884. In 1914, an addition was constructed south of the school and later in 1959; a gymnasium was added between the two buildings.The building was purchased in 2009 for conversion into resid","Stinson School Inc., ICON Architects Inc., Lintack Architects Inc., Kent Rawson Architect, Adesso Design Inc.",2015,Award of Outstanding Achievement & Excellence in Adaptive Reuse,200 Stinson Street,Hamilton,43.2470208,-79.8527045
592033.318,4789839.6497,43,Arts Centre and Lofts,The project is an adaptive re-use of an historic building into a performing arts centre and affordable housing for artists. The renovation focuses on inspirational elements from the artistic community which is presented through two storey storefront glas,"CityHousing Hamilton, TCA/Thier + Curran Architects Ltd., Maitland Spencer Engineering Ltd., Copa Engineering Ltd., Fortech Engineering Ltd.",2015,Award of Excellence in Design & Urban Regeneration,95 King Street East,Hamilton,43.255746,-79.8661633
591888.5544,4790331.3721,44,123 James Street North,A new office and retail building located in the heart of the James Street North arts district. The site was once the home of the Tribune newspaper and more recently functioned as a surface parking lot.This new 3 storey building is designed to fit into Ja,"J. Beurne Real Estate, Lintack Architects Inc., Webb Planning Consultants, Strik, Baldinelli, Moniz, El-Hamzawi Engineering Ltd., Fortech Engineering Ltd.",2015,Award of Excellence in Design & Urban Regeneration,123 James Street North,Hamilton,43.2601906,-79.8678644
591942.8531,4790007.4241,45,Empire Times,The project is an adaptive re-use of an historic building into a performing arts centre and affordable housing for artists. The renovation focuses on inspirational elements from the artistic community which is presented through two storey storefront glas,"Core Urban Inc., Lintack Architects Inc, Strik, Baldinelli, Moniz, Weekes Engineering",2015,Award of Execllence in Design & Urban Regernation,42-45 King William Street,Hamilton,43.2572675,-79.8672496
591892.669,4789866.2899,46,Gore Park Pedestrianization Initiative & Veterans' Place,"This urban park required a comprehensive overhaul to better support community functions, attract more people, improve comfort and safety, upgrade functional systems, and reinvigorate the Gore. The Pedestrianization Initiative is the first of planned phas","City of Hamilton - Public Works Department Landscape Architectural Services, Planning and Economic Development Tourism and Culture Division, Vertain's Committee, MBTW Group, AECOM",2015,Award of Outstanding Achievement & Excellence in Urban Design,,Hamilton,43.256003,-79.8678913
590251.4636,4787922.6155,47,David Braley Athletic & Recreation Centre at Mohawk College,"The David Braley Athletic and Recreation Centre houses 3 gymnasiums, a fitness centre, multi-purpose studio, and an indoor track in more than 64,000 square feet of stunning, newly constructed space. The facility also includes a Booster Juice, outdoor bas","Perkins + Will Architects, IBI Group",2015,People's Choice Award,135 Fennell Avenue West,Hamilton,43.2387024,-79.8884253
600460.1316,4785739.9966,48,Stoney Creek Recreation Centre,"This facility is located in the heart of Stoney Creek, near Battlefield Park. It is an aquatic complex that includes a leisure pool, training pool, change rooms and multipurpose rooms. It is part of a larger site that contains an existing arena. The buil","Lintack Architects Inc., RDH Architects Inc., PMA Landscape Architects Ltd., Aquicon Construction Co Ltd.",2013,Award of Merit in Architecture,45 King Street West,Stoney Creek,43.2177624,-79.7631158
598032.109,4793790.8865,49,Mokrycke Residence,"This residence is located on the narrow sandbar that separates Lake Ontario form the Hamilton Bay. The design of the building respects the past built fabric of Hamilton’s beach community. It is constructed with cedar shake siding, and includes large ex",John Mokrycke Architect (Architect & General Contractor),2013,Award of Merit in Architecture,1038 Beach Boulevard,Hamilton,43.2905613,-79.791571
587565.8418,4790578.2687,50,Phoenix Pub & Restaurant,"This renovated space is located within the Refectory building in the historic core of the McMaster University Campus, which is designated under the Ontario Heritage Act. The Refectory building was constructed in 1930, as a Dining Hall and Central Plant.","McCallum Sather Architects Inc., MHBC Planning - Urban Design & Landscape, Architecture (Landscape Architect),  Bestco Construction Ltd.",2013,Award of Merit in Heritage Conservation,1280 Main Street West,Hamilton,43.2629281,-79.9210747
584865.1382,4790752.5856,51,Dundas Valley School of Art,The building was constructed in 1836 and began as the Canada Screw Works. An addition was constructed in 1941 to replicate features of the original building design. The Dundas Valley School of Art established itself here in 1970. The building underwent a,"Invizij Architects and Garwood-Jones & Hanham Architects, Ira McDonald Construction",2013,Award of Merit in Heritage Conservation,21 Ogilvie Street,Dundas,43.2648065,-79.9543185
582983.2674,4786177.5026,52,Ancaster Gateway Entrance Feature,This streetscape feature is located on Wilson Street at the entrance to the historical Downtown Ancaster. The new gateway is designed to be a focal point at the entrance to the Business Improvement Area. It also provides an accessible pedestrian and bicy,"City of Hamilton - Urban Renewal, New Alliance Ltd., Dillon Consulting",2013,Award of Merit in Streetscape,"Wilson Street East, West of Halson Street",Ancaster,43.2238254,-79.9781914
591882.6407,4790965.7754,53,Witton Lofts,"The original strcture was built in the 1920's as Mcllwraith Elementary School. The reredevelopment was named after the original architect, William Palmer Witton. A three-storey contemporary glass addition sits atop the structure, creating 36 residential","Lintack Architects Inc., Adesso Design Inc., WEBB Planning Consultants Inc., GUPM Construction Managers",2013,Award of Excellence in Adaptive Reuse,50 Murray Street West,Hamilton,43.2659028,-79.8678314
591860.8902,4790059.6078,54,Tourism Hamilton Visitor Centre,The project is located within the historic Lister Building which was constructed in 1924 as an interior mall. It is situated on James Street North which is the centre of Hamilton’s growing Arts and Culture scene. It is a street front location which ser,"TCA/Thier + Curran Architects Inc., APM Construction Services, Factor Design Initiative",2013,Award of Excellence in Contextual Architecture,28 James Street North,Hamilton,43.2577473,-79.8682505
600217.7572,4785720.611,55,Battlefield House Museum & Park National Historic Site,"A National Historic Site of Canada which was restored to recreate the original 1920's commemorative Landscape Plan to mark the war of 1812. The original design was influenced by the ""City Beautiful Movement"" which enhanced civic spaces and citizentry. Th","Alexander Budrevics & Associates Ltd., MHBC Planning Ltd., Pine Valley Enterprises Inc., Historic Horizon Inc.",2013,Award of Excellence in Cultural Landscape,77 King Street West,hamilton,43.2176201,-79.7661028
592228.5974,4790025.7194,56,Emerald Park,The project explores the issue of how a municipality can address under-utilized sites. The design proposal addresses the issue of soil contamination in a creative way. Affected areas will contain plants that provide phytoremediation. These plants have th,Leila F. Todd,2013,Award of Excellence in Environmental Design,60-82 Catherine Street and 69-75 Mary Street,Hamilton,43.2573973,-79.8637268
590831.7206,4789373.2636,57,First Hamilton Christian Reformed Church,"This church building is located in the Durand neighbourhood, south of downtown Hamilton. The building was constructed in 1882 as a Methodist Church and became the First Hamilton Christian Reformed Church in 1949. The project includes restoration of the b","Invizij Architects and Garwood-Jones & Hanham Architects, Merit Contractors Niagara",2013,Award of Excellence in Heritage Conservation,181 Charlton Avenue West,Hamilton,43.2516929,-79.8810409
591935.7393,4790301.7655,58,118 James Street North,This historical building is located on James Street North within Hamilton’s growing arts and culture community. It was constructed in the 1920’s and originally housed a furniture store. The project consists of renovations and restorations to the buil,"TCA/Thier and Curran Architects Inc., Paul Squissato Construction Ltd.",2013,Award of Overall Excellence in Urban Design,118 James Street North,Hamilton,43.2599183,-79.8672881
590801.6035,4790412.207,59,"Good Shepherd Centre, Phase II","This site is located in the Strathcona neighbourhood, just east of Victoria Park. Phase 2 of this development consists of 156 affordable housing units within two eight-storey buildings. One building contains senior’s apartments with a main floor Wellne","TEAM/Thier and Curran Achitects Inc., PMA Landscape Architects Ltd., Maple Reinders",2013,Award of Overall Excellence in Urban Design,398 King Street West,Hamilton,43.2610501,-79.8812406
596923.3462,4782895.987,60,Winterberry Office Building,"The 45,000 square foot, 3 storey office forms a key gateway building to the larger development. Massing, façade lements, setbacks and landscaping introduces pedstrian and public transit user to building's interior mixed programming. Office spaces have b","Sam Esposto Architect Inc., G. O'Connor Mokrycke Consultants, Don May Consulting, D & D Contracting Ltd.",2013,People's Choice Award,835 Paramount Drive,Hamilton,43.1926208,-79.807151
595623.1249,4783021.8236,61,C Hotels by Carmen's,"A six-storey, 52 suite luxury boutique hotel that is located next door to the Carmen’s Banquet Centre on Stone Church Road East. The architecture of the Hotel is uniquely “Carmen’s” with an entrance design that features a wing like canopy invitin","Romanov and Romanov Architects Inc., Edwards Design, Mulas Construction Ltd.",2011,Award of Merit in Architecture,1530 Sotne Church Road East,Hamilton,43.1939194,-79.8231279
596474.4292,4774513.8244,62,St. Matthew Catholic Elementary School,"The school  is located at the corner of the site creating extensive areas for landscaping and play and for trees and shade. Parking and drop-off areas are placed at the side and rear of the building. The exterior of the building is brick and stone, and n","Lintack Architects Inc., G. O'Conner Consultants Inc., Bondfield Construction Co. Ltd.",2011,Award of Merit in Architecture & Sustainability,200 Winwood Drive,Binbrook,43.1172144,-79.814135
590554.4513,4787796.9928,63,Mohawk College 'The Learning Exchange',The Cummings Library and Collaboratory are part of Mohawk College’s new “Learning Exchange”. This state-of-the-art addition to the college boasts a modern take on the “library” by providing numerous resources to students in digital formats. Arc,"Architects & Contractors, Zeidler Partnership Architects, IBI Group, Halcrow Yolles, Lintack Architects Inc., Oakridge Landscaping",2011,Award of Merit in Architecture & Sustainability,123 Fennell Avenue,Hamilton,43.2375351,-79.8847149
598204.8069,4783376.595,64,Bridgewater Court,"In response to the need for affordable housing, the City of Hamilton initiated the construction of 45 housing units on the Stoney Creek Mountain near the Felker Creek waterway. Located within an established residential area the development is also near a","Cynthia Zahoruk Architect Inc., Ron Kourdys Landscape Architect, Spallacci Construction Ltd.",2011,Award of Merit in Urban Design,4 Bridgewater Court,Stoney Creek,43.1967821,-79.7912979
590797.4036,4790431.8443,65,Good Shepherd Women's Services Centre,A temporary refuse home for women in crisis. The layout of this building is formed by two separate shelters around a central garden courtyard creating a space for safe outdoor gatherings in a tight urban setting. Merging with the character of the communi,"TCA/Thier + Curran Architects Inc., PMA Landscape Architects Ltd., Maple Reinders Constructors Ltd.",2011,Award of Merit in Urban Design,30 Pearl Street North,Hamilton,43.2612274,-79.8812891
589767.889,4798276.8114,66,St. Thomas Lofts,The aim of this project was to adaptively reuse a church in Waterdown converting it into seven residential units. The St. Thomas Catholic Church is a designated heritage building and its conversion had to be sensitive to the heritage features of the buil,"Cynthia Zahoruk Architect Inc., Ron Kourdys Landscape Architect, Schilthuis and Sons Ltd., Hallex Engineering Ltd.",2011,Award of Merit in Adaptive Reuse,40 Flamboro Street,Flamborough,43.3319785,-79.8926904
591465.231,4789797.5801,67,Hamilton City Hall,"Hamilton City Hall was originally designed by Stanley Roscoe, a well known Hamilton Architect responsible for numerous modern buildings in Hamilton. The building first opened in 1960 showcasing a new modern spirit expressed by the “International Style","Garwood-Jones & HanHam Architects, MHBC Planning/Wendy Shearer Landscape Architect, McCallum Sather Architects Inc., Ellis Don Corporation, +VG Arhitects the Ventin Group Ltd., Black & McDonald",2011,Award of Merit in Restoration,71 Main Street West,Hamilton,43.2554364,-79.8731677
