date_received,product,sub_product,issue,sub_issue,complaint_what_happened,company_public_response,company,state,zip_code,consumer_consent_provided,submitted_via,date_sent_to_company,company_response,timely,tags,consumer_disputed,complaint_id
2018-01-06T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt is not yours,"I started to receive letters from Clear Spring about 1 year ago asking for payment of {$5300.00} with no explanation of where the debt was incurred, I have asked for signed contracts with no response, I have been fighting to get this removed from my credit reports as I can not cosign student loans for my daughters. 
I recently received a letter saying I can settle the claim of {$5300.00} for one payment of {$530.00}, this company has provided no documentation nor  contract and I am not about to settle on an account that never existed",,"Sortis Financial, Inc.",NY,,Consent provided,Web,2018-01-09T00:00:00.000,Closed with explanation,Yes,,N/A,2774152
2018-07-06T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,RUSHMORE LOAN MANAGEMENT SERVICES LLC,NY,10913,N/A,Referral,2018-07-06T00:00:00.000,Closed with explanation,Yes,,N/A,2955719
2018-06-28T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"Leopold & Associates , PLLC, a debt collection agency located at XXXX XXXX XXXX XXXX, XXXX XXXX, XXXX NY XXXX, has taken me to court in an attempt to collect a mortgage debt on which the statute of limitation has expired. In the State of New York, the Statute of Limitations is six years from the date of the last payment made. My last payment was made in approximately XXXX. Foreclosure papers were served on me in XX/XX/XXXX so even if we take that date as last payment made, ( which is not possible ) the six year Statute expired in XX/XX/XXXX. 

Leopold has all of the documents, mostly generated by the mortgage servicer, XXXX, that contains the date of my last payment, so they are aware that the six years had expired, yet they knowingly pursued the foreclosure action against me.",,"LEOPOLD & ASSOCIATES, PLLC",NY,,Consent provided,Web,2018-06-28T00:00:00.000,Closed with explanation,Yes,Servicemember,N/A,2949025
2018-12-27T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,"This complaint is stating that your bank has deliberately cut off several years of payment history to re-age my account. Even though the account is missing several years of payment history, the timeline as to when the account should be deleted, under the current late payment history is close, within a few months. Accordingly, I request your bank to do a full review of my payment history, and not delete any late payment history in the process. If there were any additional late payments not posted, then I am within my rights to have the trade line deleted permanently. I understand that your bank must comply with the rules and guidelines of the Fair Credit Reporting Act and the Fair Debt Collection Practices Act. There is currently no collection enforcement that can be accomplished due to the rules within my state of residence. If my husband is the responsible party on the account, and I was just an authorizer user, then I respectfully request the deletion of the trade line. There should be a definitive deletion date within the 7-year rule to this account. However, I believe that since your bank has cut off several years of payment history, there is a high level of probability that the account should have been deleted years ago. Please comply within the rules as well as your banks subscriber agreement with all three pertinent credit reporting agencies. PLEASE DELETE THIS ACCOUNT PERMANENTLY!!!",,KEYCORP,NY,122XX,Consent provided,Web,2018-12-27T00:00:00.000,Closed with explanation,Yes,,N/A,3111337
2018-02-08T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,NATIONSTAR MORTGAGE,NY,11236,N/A,Postal mail,2018-02-14T00:00:00.000,Closed with explanation,Yes,,N/A,2808278
2018-11-29T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,"XXXX, ( XXXX XXXX XXXX ) XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX, NY XXXX Phone : ( XXXX ) XXXX XXXX bought our Heloc debt from XXXX as part of the XXXX agreement, and were obliged to make efforts for a fair modification of the debt, in XX/XX/XXXX. XXXX XXXX was mandated under this XXXX agreement to modify homeowner debt, as part of forgiveness of their penalty owed to U.S. taxpayers for their crimes during the housing crisis. 

Instead, in our case, they committed modification fraud, they tried to hold us accountable for an completely false amount, they filed foreclosure ( lis penance ) in the midst of "" modifying '', and they would not do a proper appraisal. 

They were just going through the motions of "" modifying '', and then quickly sold the the debt to another bank XXXX XXXX, and a new service XXXX XXXX in XX/XX/XXXX. 

But now, XXXX has filed foreclosure, and judgement for sale on our home, based on false debt and in violation of the the XXXX agreement, and they do not even have standing to foreclose or sell, as they advised us that they sold the loan, and servicing in XX/XX/XXXX, yet  they files a motion to sell our home in XX/XX/XXXX. 

It is pure harassment, fraudulent modification, false reporting to credit bureau, and more legal bills.",,SN SERVICING CORPORATION,NY,115XX,Consent provided,Web,2019-01-03T00:00:00.000,Closed with explanation,Yes,,N/A,3087410
2018-12-12T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,"CITIZENS FINANCIAL GROUP, INC.",NY,125XX,N/A,Referral,2018-12-20T00:00:00.000,Closed with explanation,Yes,,N/A,3098319
2018-07-23T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt is not yours,,,"BAYVIEW LOAN SERVICING, LLC",NY,109XX,Consent not provided,Web,2018-07-23T00:00:00.000,Closed with explanation,Yes,,N/A,2970808
2018-09-28T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was paid,"Bank of America has been holding my payments and posting them late. 
I send all my payments certified and check to see when they were received, Although they received my payments in time they have been holding them and posting them after the due date. 
They also have been charging me a extremely high late fee, The fee jumped from {$35.00} to {$150.00}. with no notification. 
My Account number is # XXXX. 
I have all my Certified copies and the dates that BOA received them.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,112XX,Consent provided,Web,2018-09-28T00:00:00.000,Closed with explanation,Yes,Older American,N/A,3031791
2018-04-06T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"FEIN SUCH AND CRANE Attorney 's for XXXX have foreclosed on my home they provided No notice that they were debt collectors, no notice that I had a right to dispute the debt No copies of the requested details of the debt. They committed fraud upon the court by affirming that tall the information provided was true and it was not. They never served my ex husband who has not lived with me since 2003 they affirm the bank has the mortgage documents yet another Law Firm for XXXX "" XXXX '' affirms that they lost the Note. This is just two instances of the numerous counts of fraud they have committed and affirmed to in documents to the Court",Company believes it acted appropriately as authorized by contract or law,"Fein, Such, Kahn & Shepard, P.C.",NY,,Consent provided,Web,2018-04-11T00:00:00.000,Closed with explanation,Yes,,N/A,2866713
2018-11-05T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was paid,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NY,11412,N/A,Referral,2018-11-05T00:00:00.000,Closed with explanation,Yes,,N/A,3065923
2018-06-28T00:00:00.000,Debt collection,Mortgage debt,Communication tactics,Frequent or repeated calls,"My complaint is with M & T bank about their 'collection ' calls. I was out of work for 4 months and got behind on my mortgage payments. I am now back to work, getting paid every other week. Even though I have provided a payment schedule to the bank for the next 3 payments, they continue to call me. The calls yesterday and today (XX/XX/XXXX ) were about my XX/XX/XXXX payment being late. I have filled out a complaint form on the M & T website as well. There is no reason to repeatedly call me when the situation or payment schedule I provided is not changing. Their calls and behavior constitute harassment and I want it to stop.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,M&T BANK CORPORATION,NY,,Consent provided,Web,2018-06-28T00:00:00.000,Closed with explanation,Yes,,N/A,2949107
2018-02-01T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,RUSHMORE LOAN MANAGEMENT SERVICES LLC,NY,12148,N/A,Postal mail,2018-02-01T00:00:00.000,Closed with explanation,Yes,,N/A,2800455
2018-07-31T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was result of identity theft,,,JPMORGAN CHASE & CO.,NY,11434,Consent not provided,Web,2018-07-31T00:00:00.000,Closed with explanation,Yes,,N/A,2977547
2018-06-25T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt is not yours,,,"SELECT PORTFOLIO SERVICING, INC.",NY,138XX,Other,Web,2018-06-25T00:00:00.000,Closed with explanation,Yes,Servicemember,N/A,2945470
2018-06-03T00:00:00.000,Debt collection,Mortgage debt,False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,NY,127XX,Consent not provided,Web,2018-06-03T00:00:00.000,Closed with explanation,Yes,,N/A,2925105
2018-01-30T00:00:00.000,Debt collection,Mortgage debt,Communication tactics,"You told them to stop contacting you, but they keep trying",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,125XX,Consent not provided,Web,2018-01-30T00:00:00.000,Closed with non-monetary relief,Yes,,N/A,2798401
2018-07-06T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"I settled with my mortgage company on the short sale of my home. An amount was agreed upon but no timeframe or monthly amount due was part of the agreement. Only that the debt will be paid in a reasonable time. Dyck Oneal purchased this debt and converted it into a monthly payment with a fixed term without my consent. If payment is considered late by them, a negative remark is placed on my credit report. Constant phone calls are made to my home and relatives asking when payment will be made. My credit is now damaged by this company and causing financial hardship.",Company disputes the facts presented in the complaint,"Dyck-O'Neal, Inc.",NY,,Consent provided,Web,2018-07-06T00:00:00.000,Closed with explanation,Yes,,N/A,2956221
2018-06-10T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive notice of right to dispute,"On or about XX/XX/XXXX I applied and received an equity line of credit from XXXX XXXX XXXXfor {$83000.00}. In XX/XX/XXXX I lost my job. I made payments on this account until XX/XX/XXXX. I was not able to find full time employment until XX/XX/XXXX. In the interim my account fell into arrears and was forwarded to collections. In XX/XX/XXXX ( once I became employed again ) I applied and received a mortgage modification with XXXX XXXX. I then contacted XXXX XXXX XXXX. XXXX XXXX  had gone bankrupt in XX/XX/XXXX/XX/XX/XXXX. I was told to contact XXXX XXXX, a collection agency, ( XXXX   ) XXXX and spoke with a XXXX XXXX XXXX. I agreed to pay {$350.00} per month. In XX/XX/XXXX my account was forwarded to XXXX XXXX XXXX, all the while I am paying the agreed upon amount of {$350.00}, the account was current. My account was with XXXX XXXX XXXX until XX/XX/XXXX when my account was forwarded to LoanCare. My XX/XX/XXXX Payment was returned stating the payment was insufficient. In XX/XX/XXXX I contacted XXXX XXXX XXXX   and was informed by rep. XXXX XXXX  that my account was {$20000.00} in arrears.

Upon receipt of my XX/XX/XXXX payment rejection I attempted several times to contact LoanCare via telephone ( XXXX  ) XXXX and ( XXXX ) XXXX.This occurred during the week of XX/XX/XXXX. If someone did answer the phone I was either transferred to a number that rang that no one answered or the call was disconnected. Later that week I was contacted by XXXX XXXX ( XXXX XXXX XXXX ) and was told the minimum payment that would be accepted would be {$700.00} per month and despite making an agreement with the initial collection agency- XXXX XXXX  and never missing a payment my account was even more in arrears than in XX/XX/XXXX.

This communication is sent to complain about this situation and to question what happened to my original agreement with XXXX XXXX XXXX? I have been paying this account for the past 4 years and yet the debt is deepening. I am demanding an answer from Loan Care and I need this answer in writing not a series of disconnected phone calls.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",NY,104XX,Consent provided,Web,2018-06-10T00:00:00.000,Closed with explanation,Yes,,N/A,2931814
2018-02-01T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,14580,N/A,Postal mail,2018-02-01T00:00:00.000,Closed with non-monetary relief,Yes,,N/A,2800944
2018-05-01T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was paid,,,"Fay Servicing, LLC",NY,14613,N/A,Referral,2018-05-07T00:00:00.000,Closed with explanation,Yes,,N/A,2899730
2018-07-26T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,"Real Time Resolutions, Inc.",NY,11368,N/A,Postal mail,2018-07-26T00:00:00.000,Closed with explanation,Yes,,N/A,2974316
2018-08-07T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"Instead of providing me with the detailed information I requested, about my WELLS FARGO Home Equity Account, they immediately contacted XXXX & reviewed my credit records, each time, on the following dates : XX/XX/XXXX ; XX/XX/XXXX ; XX/XX/XXXX ; XX/XX/XXXX ; XX/XX/XXXX. 
Their credit inquiries are suspicious because these requests have nothing to do with the information in my Credit file. 

Further, WELLS FARGO refused to investigate and correct statement errors, which not only impacted my credit scores and history ; but also affected the balance owed on this account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NY,,Consent provided,Web,2018-08-07T00:00:00.000,Closed with explanation,Yes,,N/A,2985297
2018-02-09T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",NY,11590,N/A,Phone,2018-02-09T00:00:00.000,Closed with explanation,Yes,,N/A,2809419
2018-02-27T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",NY,11550,N/A,Postal mail,2018-02-27T00:00:00.000,Closed with explanation,Yes,,N/A,2828172
2018-06-12T00:00:00.000,Debt collection,Mortgage debt,False statements or representation,Attempted to collect wrong amount,,,JPMORGAN CHASE & CO.,NY,11223,N/A,Referral,2018-06-19T00:00:00.000,Closed with explanation,Yes,,N/A,2934596
2018-10-30T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,"We are filing this complaint against XXXX, who violated their RMBS agreement with the federal government when they bought a HELOC debt from XXXX. 

They were obligated to negotiate a settlement fairly, but instead, instigated foreclosure in the midst of us applying for a negotiation, they committed modification fraud with false amounts, outrageously false property values, when we complained about their servicer Rushmore Loan Management to CFPF, Rushmore lied in their response to CFPB and submitted false documents to the CFPS, and then we were suddenly advised that this false debt amount they attribute to us, had been sold to XXXX XXXX XXXX, and then we received another notice that it was sold to a XXXX XXXX in Arizona. Essentially XXXX never met their RMBS obligation to offer fair relief, which they were obligated to do. Instead, they threatened us and has no intention of fair settlement, and have since cost us much more in legal fees and more. 

Regardless, XXXX only notified us a month after they sold the debt, that it had been sold, and we received two conflicting letters about the new owner of the debt, so we have no idea who actually owns it, but one of them has attorneys sending us threatening forceclosure documents. We also received conflicting contact addresses. 

XXXX aka XXXX XXXX, was obligated under the RMBS agreement to offer relief for debts they purchased from XXXX, instead committed modification fraud, false attempts at modification, lied to us, threatened us inappropriately, falsely sent an appraiser, who told us she had been hired to take photos to sell the house, not appraise. etc.. started foreclosure proceedings while they were pretending to negotiate a settlement, falsely appraised property ignoring legal issues attached, and boundary disputes, and threatened to sell our home, falsely reported amounts owed to credit bureau, and finally sold the "" debt '' wildly false amount to different entities, who are now both harassing us, and threatening foreclosure, and XXXX never notified us that they had sold us, until a month after the alleged sales of the same debt to two different trusts? 

XXXX XXXX XXXX XXXX XXXX, TX XXXX",,RUSHMORE LOAN MANAGEMENT SERVICES LLC,NY,115XX,Consent provided,Web,2018-11-30T00:00:00.000,Closed with explanation,Yes,,N/A,3060849
2018-10-19T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,"URS Holding, LLC",NY,11378,N/A,Referral,2018-10-19T00:00:00.000,Closed with explanation,Yes,,N/A,3051138
2018-06-10T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NY,10469,Other,Web,2018-06-10T00:00:00.000,Closed with explanation,Yes,,N/A,2931813
2018-10-21T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,Statebridge Company,NY,12309,Consent not provided,Web,2018-10-21T00:00:00.000,Closed with explanation,Yes,,N/A,3052382
2018-05-21T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,,,KONDAUR CAPITAL CORPORATION,NY,14216,Consent not provided,Web,2018-05-21T00:00:00.000,Closed with explanation,Yes,,N/A,2913200
2018-04-08T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"In XX/XX/2017 I was hand delivered a legal Foreclosure Notice by a debt collector in New York State. The Plaintiff is identified as XXXX XXXX XXXX XXXX XXXX ( XXXX ). The debt collector is identified as the "" law Firm '' attempting to Foreclose on my property. 

I am questioning if the debt collector bought the debt can he legally use the bank 's name as the Plaintiff on the Foreclosure document? 

Second question is if he didn't buy the debt, must he obtain authorization from XXXX  to pursue the Foreclosure action in court or can the debt collector file the Foreclosure document on his own and be the beneficiary of owning the home if his court case is decided in his favor? 

Clearly, foreclosing on a home is not collecting a debt, which is monetary. 

I'm in court right now, since XX/XX/2017, fighting the Foreclosure.",Company disputes the facts presented in the complaint,"LEOPOLD & ASSOCIATES, PLLC",NY,,Consent provided,Web,2018-04-08T00:00:00.000,Closed with explanation,Yes,,N/A,2868070
2018-08-27T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,KONDAUR CAPITAL CORPORATION,NY,11691,N/A,Phone,2018-08-30T00:00:00.000,Closed with explanation,Yes,,N/A,3002685
2018-01-12T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt is not yours,"I have been trying to resolve this Debt as XXXX XXXX XXXX, this is a Bogus Debt from a creditor that some how finds out that you did a mortgage loan refinance and then turns out bills for un contracted or acknowledged fees. I have asked repeatedly for a contract signed by myself and my wife, without success. I am now receiving invoices from Sortis Financial with the same addresses and amounts. I can only assume that this is due to the request to cancel or remove this Debt listed under ClearSpring. 

Please make every effort to remove this from my and my wife 's Credit Reports at is seriously impairing our ability to secure student loans for our children 's college..",,"Sortis Financial, Inc.",NY,,Consent provided,Web,2018-01-18T00:00:00.000,Closed with explanation,Yes,,N/A,2780201
2018-06-10T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,,"Stein, Wiener & Roth, LLP",NY,10469,Other,Web,2018-06-10T00:00:00.000,Closed with explanation,Yes,,N/A,2931811
2018-09-05T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,"Shapiro, DiCaro & Barak, LLC",NY,10038,N/A,Postal mail,2018-09-05T00:00:00.000,Untimely response,No,,N/A,3010962
2018-04-06T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"Please refer to CASE # XXXX which was closed by CHASE without any resolution to clear my credit ratings with four major companies. 

My goal for case # XXXX was to make a negotiated payment amount, given the one and a half years invested to find the "" loan '' account. I wanted to know how to negotiate to pay off the amount, as well as, an explanation as to why my checking overdraft was listed as a mortgage loan. I do not own property. No resolution and my case was closed. 

What transpired : I was resent a letter from XX/XX/2017. The reissue and XXXX of letter was not necessary, given I had already invested 6 hours in calling the CHASE phone numbers listed on the letter in XX/XX/2017 at which time the contacts ( again ) could not find my account so that I could begin to pay. My financial counselor recommended I file complaint after she, her supervisor and myself spent over a year connecting with a CHASE representatives. 

The last few months have been spent leaving phone messages at XXXX XXXX for : ext XXXX & ext XXXX. I have repeatedly asked for a time I could call them. 

The amount owed is {$1600.00} less fees. 

Chase has not helped me find the "" mortgage account '' to pay off or negotiate the amount to clear my credit score. 

Rough itemization of my time invested to make good on my misfiled, lost debt is approximately 50 -  60 hours at $ XXXX/hr {$3700.00} - {$4500.00}. I have a log of my time invested. I would like my {$1600.00} debt cleared off all four of the credit bureaus. I have tried to do the right thing and pay my {$1600.00} debt, however none of the employees I have spoken with can find the account or let me know with whom I can negotiate a revised amount or resolve in another way. 

I am most disappointed by the ineptitude of SALARIED employees, their inability to help me finalize my debt and clear my credit for a new future. My initial debt came from numerous stressful situations surrounding my own health, caring for my mentally ill mother and her untimely death. ( see first complaint letter case # XXXX ). 

My only recourse is to photocopy a year and a half worth of Chase form letters, "" documentation '' received and my journal of phone logs to XXXX a package to XXXX XXXX, CEO of JP Morgan Chase for his the executive assistant to "" escalate ''. My experience with CHASE will make an excellent case study of the aftermath of mortgage crises, an individual consumer experience. 

Thank you for your consideration. 
XXXX XXXX",,JPMORGAN CHASE & CO.,NY,10009,Consent provided,Web,2018-04-06T00:00:00.000,Closed with monetary relief,Yes,,N/A,2867022
2018-07-20T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,"Fay Servicing, LLC",NY,114XX,Consent not provided,Web,2018-07-20T00:00:00.000,Closed with explanation,No,,N/A,2968941
2018-07-31T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"statue of limitation is over on this company, because the statue of limitation being over, they sent me a letter that they were not allowed to communicate with me any longer. Im still receiving letters from this company after they sent me letter stating they couldn't because of statue of limitation.",Company believes the complaint is the result of a misunderstanding,Ditech Financial LLC,NY,11566,Consent provided,Web,2018-08-01T00:00:00.000,Closed with explanation,Yes,,N/A,2977802
2018-12-12T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,NY,11702,N/A,Referral,2018-12-12T00:00:00.000,Closed with explanation,Yes,,N/A,3098394
2018-02-16T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"XX/XX/XXXX Notice of Chapter XXXX Bankruptcy Case, Meeting of Creditor, & Deadlines filed. ( Notice attached ) XX/XX/XXXX Notice of Appearance with request for copies of all orders, notices and pleadings under bankruptcy rules 2002 ( g ) and 9010 ( b )  filed by XXXX XXXX XXXX, XXXX as servicer for the XXXX XXXX XXXX XXXX   XXXX XXXX XXXX. ( Notice attached ) XX/XX/XXXX Final bankruptcy Decree received that included referenced mortgage property. ( Letter attached. ) XX/XX/XXXX Received letter from XXXX XXXX XXXX, XXXX stating the following : "" This letter was sent to acknowledge that we are in receipt of your request regarding the REO inquiry through correspondence received from XXXX XXXX. '' -I did not make this request and sent a certified letter, with return receipt, stating the property had been surrendered in a chapter XXXX bankruptcy with all of the applicable filing information. ( Letter attached. ) XX/XX/XXXX Received NOTICE OF OWNERSHIP CHANGE from XXXX XXXX XXXX, XXXX stating that the mortgage account had been transferred. ( Notice attached ) XX/XX/XXXX-XX/XX/XXXX Several invitations to pay and miscellaneous notices from "" XXXX XXXX '' received . 

XX/XX/XXXX Debt validation notice received from Gross Polowy LLC. 
-XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX and ALL of its servicers are well aware that this property was discharged in the bankruptcy.",,Gross Polowy LLC,NY,,Consent provided,Web,2018-02-16T00:00:00.000,Closed with explanation,Yes,Servicemember,N/A,2816766
